"","x","y","z","group","label","date"
"85",18.1294511403968,15.8453588762409,31245108624.8,"Equity","Nikko Listed IDX Fund TOPIX","2017/06"
"86",13.3568375113441,12.9421273080906,15334200000,"Equity","Schwab International Equity ETF","2017/06"
"87",10.0332455554045,14.5786673368459,13207100000,"Equity","iShares Core S&P Total US Stock Market ETF","2017/06"
"88",9.60696355296108,7.94147980134976,16139400000,"Equity","SPDR S&P Dividend ETF","2017/06"
"89",8.06927658861106,9.19222140573079,14105300000,"Equity","iShares Edge MSCI Min Vol USA ETF","2017/06"
"90",13.4556249291399,23.2440335692031,12764816952.1924,"Equity","Tracker Fund of Hong Kong","2017/06"
"91",14.0796662373618,9.91216991228989,7.8401e+10,"Equity","iShares MSCI EAFE ETF","2017/06"
"92",9.14036875624418,9.86907012686928,20507100000,"Equity","Vanguard High Dividend Yield Index Fund;ETF","2017/06"
"93",11.768145259392,13.0210381324617,10414200000,"Equity","iShares Russell Mid-Cap Value ETF","2017/06"
"94",10.4117364287652,12.4880861436485,35916900000,"Equity","iShares Russell 1000 Value ETF","2017/06"
"95",4.14481760652461,-0.668751988412908,24728600000,"Bond","iShares TIPS Bond ETF","2017/06"
"96",25.2620414417098,3.57609436666295,32094100000,"Equity","Financial Select Sector SPDR Fund","2017/06"
"97",17.5616598248673,15.753461088367,71368907131.2,"Equity","Nomura TOPIX ETF","2017/06"
"98",13.9681045851061,10.4358659081475,58828400000,"Equity","iShares Core MSCI EAFE ETF","2017/06"
"99",8.82196406690216,12.1273499271584,27168600000,"Equity","Vanguard Dividend Appreciation Index Fund;ETF","2017/06"
"100",9.32415921589729,13.5239626766354,23000046500,"Equity","Vanguard S&P 500 UCITS ETF USD","2017/06"
"101",5.40880582108735,-0.930786968574415,16203200000,"Bond","iShares US Preferred Stock ETF","2017/06"
"102",11.4777841572479,13.6555133682158,18314900000,"Equity","Vanguard Mid-Cap Index Fund;ETF","2017/06"
"103",11.6806580342689,21.6689000937315,19810700000,"Equity","Technology Select Sector SPDR Fund","2017/06"
"104",10.5183057045272,11.9949479133153,13051700000,"Equity","Consumer Discretionary Select Sector SPDR Fund","2017/06"
"105",13.6983458338282,1.88192791598585,36770400000,"Commodity","SPDR Gold Shares","2017/06"
"106",11.6020868915183,10.2295468824884,15278400000,"Equity","Health Care Select Sector SPDR Fund","2017/06"
"107",1.58542379538347,-0.0345240950037518,21010800000,"Bond","Vanguard Short-Term Corporate Bond Idx Fd;ETF","2017/06"
"108",19.2492841884317,15.3514116914117,12111411289.6,"Equity","MUKAM MAXIS Nikkei 225 ETF","2017/06"
"109",12.5922159273874,15.4029890827291,19723400000,"Equity","SPDR S&P MidCap 400 ETF","2017/06"
"110",11.8858782343607,22.3021750842632,60007800000,"Equity","PowerShares QQQ Trust Series 1","2017/06"
"111",12.6837923341861,15.1656467489328,44615200000,"Equity","iShares Core S&P Mid-Cap ETF","2017/06"
"112",18.9769219353435,15.2929297859332,23782136940.8,"Equity","Daiwa ETF Nikkei 225","2017/06"
"113",4.94763632798028,0.802015119076716,32488500000,"Bond","iShares iBoxx $ Inv Grade Corporate Bond ETF","2017/06"
"114",9.53223772420493,14.3353008579797,12047200000,"Equity","Schwab US Large-Cap ETF","2017/06"
"115",3.37054846562413,-1.06451132767202,55830100000,"Bond","iShares Core US Aggregate Bond ETF","2017/06"
"116",10.3277753391078,12.2118810351659,15522900000,"Equity","iShares S&P 500 Value ETF","2017/06"
"117",10.9179299200627,13.7314371285123,11862700000,"Equity","Vanguard Total World Stock Index Fund;ETF","2017/06"
"118",14.0097126803409,11.6621784106583,16369900000,"Equity","Vanguard FTSE Developed Markets ETF","2017/06"
"119",9.84480072043492,15.7543109139262,13488946878.3,"Equity","iShares Core MSCI World UCITS ETF USD (Acc)","2017/06"
"120",10.0033079494922,14.5151321899515,128610700000,"Equity","Vanguard Total Stock Market Index Fund;ETF","2017/06"
"121",0.198951995173086,-0.0416730748386773,13846900000,"Bond","iShares Short Treasury Bond ETF","2017/06"
"122",9.4342765131607,16.4756882962016,25697807335.93,"Equity","iShares Core S&P 500 UCITS ETF USD (Acc)","2017/06"
"123",13.6792998247952,2.04373195144507,12179100000,"Commodity","iShares Gold Trust","2017/06"
"124",17.5772121960826,15.8604207940872,33730501554.4,"Equity","Daiwa ETF TOPIX","2017/06"
"125",15.2511020080421,20.6620849188891,42090700000,"Equity","iShares Russell 2000 ETF","2017/06"
"126",16.7603564299146,9.71522758171126,10035544647.6285,"Equity","iShares EURO STOXX 50 (DE)","2017/06"
"127",10.1013341631979,10.2753688874203,16733400000,"Equity","iShares Select Dividend ETF","2017/06"
"128",11.2986194012721,13.5816919475301,16929100000,"Equity","iShares Russell Mid-Cap ETF","2017/06"
"129",13.3997491922705,12.9753222069892,126640300000,"Equity","Vanguard Total International Stock Index Fund;ETF","2017/06"
"130",5.42177595655397,2.97716215882438,11443500000,"Bond","iShares JPMorgan USD Emerging Markets Bond ETF","2017/06"
"131",0.849243178206796,-0.43359998365764,12432700000,"Bond","iShares 1-3 Year Treasury Bond ETF","2017/06"
"132",9.52773958789744,13.8197124684249,254672400000,"Equity","SPDR S&P 500 ETF Trust","2017/06"
"133",18.0626848767424,-2.77180308436976,18528200000,"Equity","Energy Select Sector SPDR Fund","2017/06"
"134",13.5868934644918,13.2009443100198,23705700000,"Equity","Vanguard FTSE All-World ex US Index Fund;ETF","2017/06"
"135",16.25575697551,11.7001120011251,21397700000,"Equity","iShares MSCI Japan ETF","2017/06"
"136",3.98348850404047,0.179348551545555,1.8267e+10,"Bond","Vanguard Intermediate-Term Corp Bond Idx Fund;ETF","2017/06"
"137",11.9262386477215,13.9484655164594,2.6894e+10,"Equity","Vanguard 500 Index Fund;ETF","2017/06"
